	z	x	y	lm	step
0	0.26302987337112427	0.43970245122909546	-0.14145046472549438	NOSE	0
1	0.26135310530662537	0.4512478709220886	-0.11953037977218628	LEFT_EYE_INNER	0
2	0.2614176273345947	0.45565563440322876	-0.11975439637899399	LEFT_EYE	0
3	0.26153191924095154	0.46096569299697876	-0.11982914805412292	LEFT_EYE_OUTER	0
4	0.23414286971092224	0.444410502910614	-0.11878731846809387	RIGHT_EYE_INNER	0
5	0.2342366874217987	0.44347476959228516	-0.1186620220541954	RIGHT_EYE	0
6	0.2342233657836914	0.44237178564071655	-0.11847904324531555	RIGHT_EYE_OUTER	0
7	0.21975311636924744	0.4882773160934448	-0.1357560157775879	LEFT_EAR	0
8	0.08892637491226196	0.45694148540496826	-0.13482221961021423	RIGHT_EAR	0
9	0.2474299520254135	0.44825565814971924	-0.1673583984375	MOUTH_LEFT	0
10	0.20962949097156525	0.4388543665409088	-0.16782984137535095	MOUTH_RIGHT	0
11	0.1854649931192398	0.5630248188972473	-0.26787540316581726	LEFT_SHOULDER	0
12	0.03143632411956787	0.4119393229484558	-0.2748257517814636	RIGHT_SHOULDER	0
13	0.25324147939682007	0.6798096895217896	-0.29938042163848877	LEFT_ELBOW	0
14	0.028751542791724205	0.31030213832855225	-0.28426027297973633	RIGHT_ELBOW	0
15	0.35256195068359375	0.7936607599258423	-0.289373517036438	LEFT_WRIST	0
16	0.1610364317893982	0.19667735695838928	-0.2550503611564636	RIGHT_WRIST	0
17	0.3706752061843872	0.8265878558158875	-0.27721068263053894	LEFT_PINKY	0
18	0.18134985864162445	0.16611722111701965	-0.24982157349586487	RIGHT_PINKY	0
19	0.41928255558013916	0.8299376368522644	-0.26999762654304504	LEFT_INDEX	0
20	0.22479884326457977	0.16699448227882385	-0.24479815363883972	RIGHT_INDEX	0
21	0.3778507709503174	0.8182446956634521	-0.27826759219169617	LEFT_THUMB	0
22	0.18815094232559204	0.17281922698020935	-0.24954302608966827	RIGHT_THUMB	0
23	0.06073114275932312	0.5501219630241394	-0.6025630831718445	LEFT_HIP	0
24	-0.060461170971393585	0.4562015235424042	-0.5902107954025269	RIGHT_HIP	0
25	0.15730568766593933	0.6672909259796143	-0.7706606388092041	LEFT_KNEE	0
26	0.11447637528181076	0.2998090088367462	-0.6695924997329712	RIGHT_KNEE	0
27	-0.005239373072981834	0.7849977016448975	-0.9197428226470947	LEFT_ANKLE	0
28	-0.02453627809882164	0.2710961699485779	-0.9275455474853516	RIGHT_ANKLE	0
29	-0.015895891934633255	0.7986182570457458	-0.9417888522148132	LEFT_HEEL	0
30	-0.03204793483018875	0.28646641969680786	-0.9688045978546143	RIGHT_HEEL	0
31	0.13113749027252197	0.8083990812301636	-0.9807634353637695	LEFT_FOOT_INDEX	0
32	0.07794658094644547	0.19660630822181702	-0.9766368269920349	RIGHT_FOOT_INDEX	0
